recordType,metricKind,timestamp,gitSHA,gitState,run,requestedScene,harnessScene,resolutionLabel,widthPx,heightPx,kernel,variant,fractal,iterations,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,frames,warmup,gpuMsAvg,gpuMsP95,gpuMsMax,fpsAvg,fpsMin,stepsAvg,cpuEncodeMsAvg,notes
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Mandelbulb,6,640,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Menger,6,832,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,MandelbulbJulia,6,640,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,QuaternionJulia,6,832,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Octahedron,6,832,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,MengerSphere,6,832,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,TheliPseudoKleinian,6,704,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Kleinian,6,832,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Mandelbox,12,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Mandelbulb,12,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Menger,12,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,MandelbulbJulia,12,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,QuaternionJulia,12,448,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Octahedron,12,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,MengerSphere,12,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,TheliPseudoKleinian,12,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcUndefined_preFix,Kleinian,12,384,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Mandelbox,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Mandelbulb,12,640,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Menger,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,MandelbulbJulia,12,640,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,QuaternionJulia,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Octahedron,12,832,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,MengerSphere,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,TheliPseudoKleinian,12,704,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,adaptiveHierarchical8x8,fcBakedOff_postFix,Kleinian,12,768,,32,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Mandelbox,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Mandelbulb,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Menger,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,MandelbulbJulia,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,QuaternionJulia,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Octahedron,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,MengerSphere,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,TheliPseudoKleinian,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Kleinian,6,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Mandelbox,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Mandelbulb,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Menger,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,MandelbulbJulia,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,QuaternionJulia,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Octahedron,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,MengerSphere,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,TheliPseudoKleinian,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
raw,occupancy,2026-07-09T15:23:28Z,0d1c3087,clean,3,,,,,,coneCoarsePrepass8x8,default,Kleinian,12,1024,32,0,,,,,,,,,,threadExecutionWidth blank when not printed by occupancy log
